ERPset,value,worklat,chindex,chlabel,bini,binlabel
118-286,-0.053859,           [386],130,Posterior,8,  Happy2
118-300,0.959562,           [392],130,Posterior,8,  Happy2
118-313,1.880833,           [298],130,Posterior,8,  Happy2
118-46,2.91531,           [318],130,Posterior,8,  Happy2
119-102,8.624546,           [212],130,Posterior,8,  Happy2
119-112,0.661431,           [278],130,Posterior,8,  Happy2
222-11,4.886597,           [288],130,Posterior,8,  Happy2
222-13,1.75327,           [268],130,Posterior,8,  Happy2
222-34,1.014817,           [234],130,Posterior,8,  Happy2
222-36,0.754443,           [274],130,Posterior,8,  Happy2
222-4,2.460591,           [212],130,Posterior,8,  Happy2
248-10,5.861082,           [230],130,Posterior,8,  Happy2
248-23,4.564414,           [210],130,Posterior,8,  Happy2
248-25,2.687928,           [260],130,Posterior,8,  Happy2
250-10,8.62948,           [262],130,Posterior,8,  Happy2
250-22,3.676547,           [232],130,Posterior,8,  Happy2
250-23,4.934822,           [270],130,Posterior,8,  Happy2
250-26,3.012327,           [272],130,Posterior,8,  Happy2
250-27,1.521046,           [264],130,Posterior,8,  Happy2
250-36,2.74915,           [296],130,Posterior,8,  Happy2
250-39,2.059931,           [242],130,Posterior,8,  Happy2
255-22,1.90103,           [208],130,Posterior,8,  Happy2
255-23,4.602819,           [324],130,Posterior,8,  Happy2
255-33,2.068447,           [266],130,Posterior,8,  Happy2
255-43,2.626445,           [300],130,Posterior,8,  Happy2
255-44,7.873831,           [218],130,Posterior,8,  Happy2
255-62,1.641261,           [248],130,Posterior,8,  Happy2
255-63,2.174973,           [326],130,Posterior,8,  Happy2
255-64,3.870886,           [334],130,Posterior,8,  Happy2
255-72,4.051774,           [296],130,Posterior,8,  Happy2
255-81,1.397957,           [226],130,Posterior,8,  Happy2
